ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000001,55,M,soltero,Alquilada,4,Sierra,Urbano,7496,360,Semanal,103,1517,Transporte,12612,10,11350.8,1000,144,410,4227,650,1
SOL-000002,55,M,casado,Propia,5,Costa,Rural,8015,259,Semanal,1463,1123,Comercio,13130,62,4989.4,1000,125,788,3299,512,1
SOL-000003,67,F,soltero,Familiar,3,Costa,Urbano,2944,183,Diario,1668,505,Transporte,15203,74,3952.78,890,187,237,2134,746,1
SOL-000004,19,M,casado,Propia,4,Sierra,Periurbano,2260,167,Semanal,756,324,Transporte,19246,55,8660.7,890,93,1265,3497,445,1
SOL-000005,60,F,conviviente,Familiar,1,Selva,Periurbano,1396,65,Quincenal,359,265,Transporte,18741,54,8620.86,430,147,185,564,835,1
SOL-000006,29,M,divorciado,Propia,2,Costa,Rural,4537,87,Diario,1520,264,Transporte,16897,35,10983.05,560,151,1421,727,777,1
SOL-000007,61,F,soltero,Propia,2,Costa,Urbano,5593,200,Quincenal,40,753,Produccion,16393,30,11475.1,710,63,1333,2284,612,1
SOL-000008,42,M,soltero,Propia,5,Sierra,Periurbano,7268,47,Semanal,355,246,Produccion,4567,59,1872.47,1050,105,1164,3503,662,0
SOL-000009,24,M,conviviente,Propia,5,Sierra,Rural,5943,327,Diario,1027,1658,Comercio,10971,56,4827.24,890,65,585,2488,305,1
SOL-000010,54,M,casado,Propia,1,Selva,Rural,7607,125,Mensual,1172,1388,Servicios,12354,25,9265.5,350,170,1141,619,340,1
SOL-000011,63,M,casado,Propia,6,Sierra,Rural,9431,218,Mensual,320,784,Transporte,17057,73,4605.39,1020,80,1178,1562,449,1
SOL-000012,60,F,divorciado,Alquilada,6,Costa,Urbano,3306,146,Semanal,1827,276,Servicios,13128,72,3675.84,1440,55,992,1135,585,1
SOL-000013,54,F,conviviente,Propia,2,Sierra,Periurbano,2605,178,Semanal,297,1515,Produccion,17257,57,7420.51,590,74,1096,474,465,1
